participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,8,7.0,"riesige,",riesige%2C,0,308.0,forward,0,0.0,308.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,9,8.0,böyle,böyle,1,276.0,forward,0,0.0,276.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,10,9.0,Einkaufsstraße,Einkaufsstraße,1,742.0,forward,0,0.0,742.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,11,10.0,gibi,gibi,1,384.0,forward,0,0.0,384.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,12,11.0,bir,bir,0,626.0,forward,0,0.0,626.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,13,12.0,şey,şey,0,353.0,forward,0,0.0,353.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,14,13.0,var.,var.,0,405.0,forward,0,0.0,405.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,15,14.0,Weißt,Weißt,1,555.0,forward,0,0.0,555.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,16,15.0,du,du,0,370.0,forward,0,0.0,370.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,17,16.0,in,in,0,455.0,forward,0,0.0,455.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,18,17.0,Darmstadt!,Darmstadt!,0,485.0,forward,0,0.0,485.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
